sample	timestamp	elapsed_ms	status_rows	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec
42	2026-09-13T03:48:57.076583494Z	42001	24	2	2	1	3	0.000	752	0.000	198696	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28462357	552.966	45075145	849.947	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1203	1.000	0	0.000	0.000	1	0.000
43	2026-09-13T03:48:58.076318222Z	43001	24	2	2	1	3	0.000	752	0.000	198697	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28462910	553.147	45075995	850.226	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1204	1.000	0	0.000	0.000	1	0.000
44	2026-09-13T03:48:59.076593341Z	44001	24	2	2	1	3	0.000	752	0.000	198698	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28463463	552.848	45076845	849.766	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1205	1.000	0	0.000	0.000	1	0.000
45	2026-09-13T03:49:00.076662214Z	45001	24	2	2	1	3	0.000	752	0.000	198699	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28464016	552.962	45077695	849.941	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1206	1.000	0	0.000	0.000	1	0.000
46	2026-09-13T03:49:01.076973685Z	46001	24	2	2	1	3	0.000	752	0.000	198700	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28464569	552.828	45078545	849.735	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1207	1.000	0	0.000	0.000	1	0.000
47	2026-09-13T03:49:02.07736154Z	47002	24	2	2	1	3	0.000	752	0.000	198701	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28465122	552.786	45079395	849.670	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1208	1.000	0	0.000	0.000	1	0.000
48	2026-09-13T03:49:03.076506209Z	48001	24	2	2	1	3	0.000	752	0.000	198702	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28465675	553.473	45080245	850.728	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1209	1.001	0	0.000	0.000	1	0.000
49	2026-09-13T03:49:04.076412762Z	49001	24	2	2	1	3	0.000	752	0.000	198703	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28466228	553.052	45081095	850.079	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1210	1.000	0	0.000	0.000	1	0.000
50	2026-09-13T03:49:05.076545927Z	50001	24	2	2	1	3	0.000	752	0.000	198704	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28466781	552.926	45081945	849.887	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1211	1.000	0	0.000	0.000	1	0.000
51	2026-09-13T03:49:06.076474235Z	51001	24	2	2	1	3	0.000	752	0.000	198705	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28467334	553.040	45082795	850.061	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1212	1.000	0	0.000	0.000	1	0.000
52	2026-09-13T03:49:07.076516896Z	52001	24	2	2	1	3	0.000	752	0.000	198706	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28467887	552.976	45083645	849.964	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1213	1.000	0	0.000	0.000	1	0.000
53	2026-09-13T03:49:08.076588846Z	53001	24	2	2	1	3	0.000	752	0.000	198707	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28468440	552.960	45084495	849.939	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1214	1.000	0	0.000	0.000	1	0.000
54	2026-09-13T03:49:09.076359196Z	54001	24	2	2	1	3	0.000	752	0.000	198708	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28468993	553.127	45085345	850.195	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1215	1.000	0	0.000	0.000	1	0.000
55	2026-09-13T03:49:10.076535772Z	55001	24	2	2	1	3	0.000	752	0.000	198709	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28469546	552.902	45086195	849.850	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1216	1.000	0	0.000	0.000	1	0.000
56	2026-09-13T03:49:11.076791717Z	56001	24	2	2	1	3	0.000	752	0.000	198710	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28470099	552.858	45087045	849.783	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1217	1.000	0	0.000	0.000	1	0.000
57	2026-09-13T03:49:12.076934348Z	57001	24	2	2	1	3	0.000	752	0.000	198711	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28470652	552.921	45087895	849.879	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1218	1.000	0	0.000	0.000	1	0.000
58	2026-09-13T03:49:13.077081848Z	58001	24	2	2	1	3	0.000	752	0.000	198712	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28471205	552.918	45088745	849.875	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1219	1.000	0	0.000	0.000	1	0.000
59	2026-09-13T03:49:14.077156295Z	59001	24	2	2	1	3	0.000	752	0.000	198713	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28471758	552.959	45089595	849.937	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1220	1.000	0	0.000	0.000	1	0.000
60	2026-09-13T03:49:15.077514533Z	60002	24	2	2	1	3	0.000	752	0.000	198714	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28472311	552.802	45090445	849.696	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1221	1.000	0	0.000	0.000	1	0.000
61	2026-09-13T03:49:16.076569387Z	61001	24	2	2	1	3	0.000	752	0.000	198715	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28472864	553.523	45091295	850.804	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1222	1.001	0	0.000	0.000	1	0.000
62	2026-09-13T03:49:17.076381116Z	62001	24	2	2	1	3	0.000	752	0.000	198716	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28473417	553.104	45092145	850.160	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1223	1.000	0	0.000	0.000	1	0.000
63	2026-09-13T03:49:18.076553803Z	63001	24	2	2	1	3	0.000	752	0.000	198717	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28473970	552.905	45092995	849.853	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1224	1.000	0	0.000	0.000	1	0.000
64	2026-09-13T03:49:19.076390568Z	64001	24	2	2	1	3	0.000	752	0.000	198718	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28474523	553.090	45093845	850.139	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1225	1.000	0	0.000	0.000	1	0.000
65	2026-09-13T03:49:20.076689872Z	65001	24	2	2	1	3	0.000	752	0.000	198719	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28475076	552.835	45094695	849.746	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1226	1.000	0	0.000	0.000	1	0.000
66	2026-09-13T03:49:21.076769181Z	66001	24	2	2	1	3	0.000	752	0.000	198720	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28475629	552.956	45095545	849.933	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1227	1.000	0	0.000	0.000	1	0.000
67	2026-09-13T03:49:22.076960049Z	67001	24	2	2	1	3	0.000	752	0.000	198721	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28476182	552.894	45096395	849.838	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1228	1.000	0	0.000	0.000	1	0.000
68	2026-09-13T03:49:23.077494022Z	68002	24	2	2	1	3	0.000	752	0.000	198722	0.999	32435	0.000	163525	0.000	0	0.000	244	0.000	28476735	552.705	45097245	849.546	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1229	0.999	0	0.000	0.000	1	0.000
69	2026-09-13T03:49:24.076397731Z	69001	24	2	2	1	3	0.000	752	0.000	198723	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28477288	553.607	45098095	850.933	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1230	1.001	0	0.000	0.000	1	0.000
70	2026-09-13T03:49:25.076394548Z	70001	24	2	2	1	3	0.000	752	0.000	198724	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28477841	553.002	45098945	850.003	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1231	1.000	0	0.000	0.000	1	0.000
71	2026-09-13T03:49:26.076629954Z	71001	24	2	2	1	3	0.000	752	0.000	198725	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28478394	552.870	45099795	849.800	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1232	1.000	0	0.000	0.000	1	0.000
72	2026-09-13T03:49:27.076327832Z	72001	24	2	2	1	3	0.000	752	0.000	198726	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28478947	553.167	45100645	850.257	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1233	1.000	0	0.000	0.000	1	0.000
73	2026-09-13T03:49:28.076527401Z	73001	24	2	2	1	3	0.000	752	0.000	198727	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28479500	552.890	45101495	849.830	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1234	1.000	0	0.000	0.000	1	0.000
